ensembl_gene_id,gene_symbol,entrez_id,description,rbpworld_family,species,common_name,group,neurons,genome_mb,cell_types,data_source,protein_type,is_canonical
ENSG00000030066,NUP160,23279,nucleoporin 160,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000031698,SARS,6301,seryl-tRNA synthetase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000031823,RANBP3,8498,RAN binding protein 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000032219,ARID4A,5926,AT-rich interaction domain 4A,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000033030,ZCCHC8,55596,zinc finger CCHC-type containing 8,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000033050,ABCF2,10061,ATP binding cassette subfamily F member 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000033178,UBA6,55236,ubiquitin like modifier activating enzyme 6,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000035403,VCL,7414,vinculin,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000035664,DAPK2,23604,death associated protein kinase 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000035687,ADSS,159,adenylosuccinate synthase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000035928,RFC1,5981,replication factor C subunit 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000037241,RPL26L1,51121,ribosomal protein L26 like 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000037474,NSUN2,54888,NOP2/Sun RNA methyltransferase 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000037757,MRI1,84245,methylthioribose-1-phosphate isomerase 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000038219,BOD1L1,259282,biorientation of chromosomes in cell division 1 like 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000038358,EDC4,23644,enhancer of mRNA decapping 4,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000038382,TRIO,7204,trio Rho guanine nucleotide exchange factor,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000039123,MTREX,23517,Mtr4 exosome RNA helicase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000039560,RAI14,26064,retinoic acid induced 14,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000040341,STAU2,27067,staufen double-stranded RNA binding protein 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000041802,LSG1,55341,large 60S subunit nuclear export GTPase 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000041880,PARP3,10039,poly(ADP-ribose) polymerase family member 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000042493,CAPG,822,"capping actin protein, gelsolin like",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000043514,TRIT1,54802,tRNA isopentenyltransferase 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000044115,CTNNA1,1495,catenin alpha 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000044574,HSPA5,3309,heat shock protein family A (Hsp70) member 5,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000046604,DSG2,1829,desmoglein 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000046647,GEMIN8,54960,gem nuclear organelle associated protein 8,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000046651,OFD1,8481,OFD1 centriole and centriolar satellite protein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000047188,YTHDC2,64848,YTH domain containing 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000047315,POLR2B,5431,RNA polymerase II subunit B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000047410,TPR,7175,"translocated promoter region, nuclear basket protein",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000047849,MAP4,4134,microtubule associated protein 4,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000048162,NOP16,51491,NOP16 nucleolar protein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000048405,ZNF800,168850,zinc finger protein 800,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000048544,MRPS10,55173,mitochondrial ribosomal protein S10,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000048649,RSF1,51773,remodeling and spacing factor 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000048740,CELF2,10659,CUGBP Elav-like family member 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000048828,FAM120A,23196,family with sequence similarity 120A,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000048991,R3HDM1,23518,R3H domain containing 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000049541,RFC2,5982,replication factor C subunit 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000049883,PTCD2,79810,pentatricopeptide repeat domain 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000050405,LIMA1,51474,LIM domain and actin binding 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000050748,MAPK9,5601,mitogen-activated protein kinase 9,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000051341,POLQ,10721,DNA polymerase theta,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000051596,THOC3,84321,THO complex 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000052126,PLEKHA5,54477,pleckstrin homology domain containing A5,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000052749,RRP12,23223,ribosomal RNA processing 12 homolog,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000053372,MRTO4,51154,"MRT4 homolog, ribosome maturation factor",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000054118,THRAP3,9967,thyroid hormone receptor associated protein 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
