species,common_name,pfam_id,family,n_genes,go_terms
Homo_sapiens,Human,PF00454,PI3_PI4_kinase,6,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF00575,S1,9,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF00638,Ran_BP1,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF00641,Zn_ribbon_RanBP,15,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF00642,zf-CCCH,34,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0008298:intracellular mRNA localization; GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF00644,PARP,16,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF01472,PUA,3,GO:0006403:RNA localization
Homo_sapiens,Human,PF02136,NTF2,5,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF02259,FAT,4,GO:0051236:establishment of RNA localization
Homo_sapiens,Human,PF02260,FATC,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF02854,MIF4G,10,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF03810,IBN_N,16,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF03943,TAP_C,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF04408,WHD_HA2,16,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Homo_sapiens,Human,PF05641,Agenet,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF07717,OB_NTP_bind,17,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Homo_sapiens,Human,PF08389,Xpo1,6,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF09162,Tap-RNA_bind,5,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF10373,EST1_DNA_bind,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF10374,EST1,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF11627,HnRNPA1_LC,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF12235,FXMRP1_C_core,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF12348,CLASP_N,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF12874,zf-met,30,GO:0010609:mRNA localization resulting in post-transcriptional regulation of gene expression
Homo_sapiens,Human,PF13638,PIN_4,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF13920,zf-C3HC4_3,10,GO:0010609:mRNA localization resulting in post-transcriptional regulation of gene expression
Homo_sapiens,Human,PF14709,DND1_DSRM,4,GO:0010609:mRNA localization resulting in post-transcriptional regulation of gene expression; GO:0008298:intracellular mRNA localization
Homo_sapiens,Human,PF17904,KH_9,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF18336,Tudor_FRX1,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF21010,HA2_C,18,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Homo_sapiens,Human,PF22602,NXF_NTF2,5,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF22675,KH-I_KHDC4-BBP,4,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Homo_sapiens,Human,PF24048,LRR_NXF1-5,5,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Homo_sapiens,Human,PF26026,RNA_hel_CTD,4,GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0008298:intracellular mRNA localization
